.01 PRIMARY ID	.02 TPA ID	.03 CLAIM OFFICE ID	.04 CLAIM TYPE	.05 DATE/TIME LAST MODIFIED	.08 TEST or PRODUCTION	.09 DELETED / INACTIVE	.11 EXCLUDED SERVICE CLAIM TYPE	.12 EXCLUDED SERVICE LAST UPDATED	
free text	free text	free text	set of codes	date	boolean	boolean	set of codes	date	
54398			1	"APR 3,2018@16:21"					
54763	54763		1	"JUN 19,2012@07:17"					
55204			2	"DEC 10,2012@10:59"					
55247			1	"MAY 23,2012@06:42"					
55267	55267		1	"MAR 18,2014@06:35"					
55413			1	"JAN 11,2019@15:51"					
55438			1	"JUN 19,2012@07:17"					
55489			1	"DEC 4,2020@15:09"					
55544			1	"JUN 19,2012@07:18"					
55731			1	"JUN 20,2012@11:47"					
55821	SX175		2	"MAR 29,2012@11:07"					
55821	SX175		3	"MAR 29,2012@11:07"			3		
55893			2	"JUL 3,2012@10:24"					
55962			1	"MAR 31,2021@15:39"					
56071			1	"JUL 16,2012@20:41"					
56116			1	"JUN 20,2012@08:28"					
56131			1	"JUL 2,2012@09:12"					
56132			1	"JUL 16,2012@20:41"					
56139			1	"JUL 16,2012@20:41"					
56144	56144		1	"MAR 29,2012@11:07"					
56152			1	"JUL 16,2012@20:44"					
56155			1	"MAR 12,2019@15:25"					
56162			1	"JUN 14,2012@09:14"					
56165			1	"AUG 9,2019@10:55"					
56190			2	"JUL 16,2012@20:45"					
56195			1	"JUL 16,2012@20:45"					
56196			1	"DEC 10,2012@10:59"					
56205			1	"DEC 10,2012@10:59"					
56215			1	"JAN 21,2021@16:01"					
56240			1	"DEC 10,2012@11:00"					
56724			1	"JUN 26,2020@18:13"					
57038			1	"JUN 14,2012@09:15"					
57106			1	"DEC 10,2012@11:00"					
57116			1	"JAN 2,2019@15:05"					
57254			1	"DEC 10,2012@11:00"					
57325	57325		3	"MAR 29,2012@11:08"					
57549			1	"AUG 31,2021@08:50"					
57604			1	"DEC 10,2012@11:01"					
58036	58036		1	"JUN 22,2012@12:16"					
58102			1	"DEC 10,2012@11:01"					
58155			1	"MAR 9,2020@10:13"					
58174			1	"DEC 10,2012@11:01"					
58200			1	"DEC 10,2012@11:02"					
58202			1	"MAY 31,2012@08:35"					
58203			1	"JUL 2,2012@09:09"					
58204			2	"DEC 10,2012@11:02"					
58213			1	"DEC 10,2012@11:02"					
58227			1	"DEC 10,2012@11:02"					
58231			1	"JUN 20,2012@08:57"					
58234			1	"DEC 10,2012@11:03"					
58375			1	"AUG 20,2019@16:57"					
58532			1	"SEP 22,2017@16:54"					
58605			1	"DEC 10,2012@11:03"					
59041			1	"JUL 2,2012@09:10"					
59069			1	"JUN 21,2012@08:48"					
59111			1	"DEC 10,2012@11:03"					
59140			1	"JUN 25,2012@07:11"					
59141			1	"AUG 14,2012@09:33"					
59142			1	"JUL 2,2012@09:05"					
59143			1	"APR 3,2012@08:20"					
59144			1	"SEP 4,2020@15:28"					
59204			1	"JUN 27,2012@08:38"					
59221			1	"JUN 25,2012@07:12"					
59223			1	"JUN 19,2012@07:18"					
59225			1	"JUL 16,2012@20:45"					
59227			1	"JUN 25,2012@07:12"					
59230			1	"JUN 25,2012@07:13"					
59231			1	"JUN 27,2012@08:41"					
